yourlist:M20200824A94466D2655679D1FD8953E075198DA850AEF1W	isomap:M20200824A94466D2655679D1FD8953E075198DA850AEF1W	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
XP_002599830.1		C3YVC6	C3YVC6_BRAFL	unreviewed	Uncharacterized protein	BRAFLDRAFT_261426	Branchiostoma floridae (Florida lancelet) (Amphioxus)	273			K00079;
XP_009054761.1		V4ACC3	V4ACC3_LOTGI	unreviewed	Cysteine protease (EC 3.4.22.-) (Fragment)	LOTGIDRAFT_118175	Lottia gigantea (Giant owl limpet)	241	cytoplasm [GO:0005737]; cysteine-type peptidase activity [GO:0008234]; autophagy [GO:0006914]; protein transport [GO:0015031]	GO:0005737; GO:0006914; GO:0008234; GO:0015031	K08342;
XP_001640231.1		A7RJY6	A7RJY6_NEMVE	unreviewed	Coiled-coil domain-containing protein 52 (Spindle and centriole-associated protein 1)	v1g198224	Nematostella vectensis (Starlet sea anemone)	927	centriole [GO:0005814]; centrosome [GO:0005813]; spindle [GO:0005819]; metaphase plate congression [GO:0051310]; mitotic spindle assembly [GO:0090307]; regulation of centriole replication [GO:0046599]	GO:0005813; GO:0005814; GO:0005819; GO:0046599; GO:0051310; GO:0090307	
XP_011260441.1		E2ALH9	E2ALH9_CAMFO	unreviewed	Membrane-associated protein Hem	EAG_10938	Camponotus floridanus (Florida carpenter ant)	1122			K05750;
XP_013391658.1		A0A1S3I2T1	A0A1S3I2T1_LINUN	unreviewed	Deubiquitinating enzyme A	LOC106159802	Lingula unguis	533	thiol-dependent ubiquitin-specific protease activity [GO:0004843]; protein deubiquitination [GO:0016579]	GO:0004843; GO:0016579	K12655;
XP_013407025.1		A0A1S3J9E5	A0A1S3J9E5_LINUN	unreviewed	Adenylate cyclase (EC 4.6.1.1)	LOC106171289	Lingula unguis	1192	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; cAMP biosynthetic process [GO:0006171]; intracellular signal transduction [GO:0035556]	GO:0004016; GO:0005524; GO:0005886; GO:0006171; GO:0016021; GO:0035556; GO:0046872	K08045;
XP_013405070.1		A0A1S3J3U6	A0A1S3J3U6_LINUN	unreviewed	Post-GPI attachment to proteins factor 1	LOC106169946	Lingula unguis	920	integral component of membrane [GO:0016021]; hydrolase activity, acting on ester bonds [GO:0016788]	GO:0016021; GO:0016788	K05294;
XP_013408762.1		A0A1S3JEC7	A0A1S3JEC7_LINUN	unreviewed	uncharacterized protein K02A2.6-like	LOC106172546	Lingula unguis	1343	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0004190; GO:0015074	
XP_001638054.1		A7RRC8	A7RRC8_NEMVE	unreviewed	Predicted protein	v1g240137	Nematostella vectensis (Starlet sea anemone)	189	integral component of membrane [GO:0016021]	GO:0016021	
XP_013387834.1		A0A1S3HS03	A0A1S3HS03_LINUN	unreviewed	POC1 centriolar protein homolog A-like isoform X1	LOC106156934	Lingula unguis	468			K16482;
XP_018116821.1		A0A1L8GHI8	A0A1L8GHI8_XENLA	unreviewed	Dual specificity protein phosphatase (EC 3.1.3.16) (EC 3.1.3.48)	dusp7.S dusp7 XELAEV_18025824mg	Xenopus laevis (African clawed frog)	365	MAP kinase tyrosine/serine/threonine phosphatase activity [GO:0017017]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0017017	K04459;
XP_009043633.1		V4B3U6	V4B3U6_LOTGI	unreviewed	Uncharacterized protein	LOTGIDRAFT_208026	Lottia gigantea (Giant owl limpet)	396			
XP_007480750.1		F7ANY8	F7ANY8_MONDO	unreviewed	Dimethylaniline monooxygenase [N-oxide-forming] (EC 1.14.13.8)	LOC100017133	Monodelphis domestica (Gray short-tailed opossum)	557	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; flavin adenine dinucleotide binding [GO:0050660]; monooxygenase activity [GO:0004497]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]	GO:0004497; GO:0004499; GO:0005789; GO:0016021; GO:0050660; GO:0050661	
XP_013096877.1		A0A2C9K3R1	A0A2C9K3R1_BIOGL	unreviewed	Structural maintenance of chromosomes protein	106080107	Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)	1245	cohesin complex [GO:0008278]; nucleus [GO:0005634]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA repair [GO:0006281]; mitotic sister chromatid cohesion [GO:0007064]	GO:0003682; GO:0005524; GO:0005634; GO:0006281; GO:0007064; GO:0008278	
XP_026364665.1		A0A3Q7WI06	A0A3Q7WI06_URSAR	unreviewed	sec1 family domain-containing protein 2 isoform X1	SCFD2	Ursus arctos horribilis	683	vesicle docking involved in exocytosis [GO:0006904]	GO:0006904	
XP_017274376.1		A0A3Q3BQP7	A0A3Q3BQP7_KRYMA	unreviewed	Uncharacterized protein	CXorf56	Kryptolebias marmoratus (Mangrove killifish) (Rivulus marmoratus)	225			
XP_007494871.1		A0A5F8HAV9	A0A5F8HAV9_MONDO	unreviewed	Uncharacterized protein	NCAM1	Monodelphis domestica (Gray short-tailed opossum)	857	integral component of membrane [GO:0016021]; cell adhesion [GO:0007155]	GO:0007155; GO:0016021	
NP_956847.1		Q6PHI2	Q6PHI2_DANRE	unreviewed	Zgc:65997	zgc:65997	Danio rerio (Zebrafish) (Brachydanio rerio)	262			
NP_001292258.1		Q6TEC0	Q6TEC0_CRAGI	unreviewed	RNA helicase (EC 3.6.4.13)		Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	758	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0004386; GO:0005524; GO:0008270	K13982;
XP_001377998.3		F6UIH3	F6UIH3_MONDO	unreviewed	Amine oxidase (EC 1.4.3.-)	MAOB	Monodelphis domestica (Gray short-tailed opossum)	520	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]	GO:0016021; GO:0016491	K00274;
XP_009066668.1		V3YXT5	V3YXT5_LOTGI	unreviewed	DUF4201 domain-containing protein	LOTGIDRAFT_184681	Lottia gigantea (Giant owl limpet)	388			
XP_014523006.1		A0A1S3VX86	A0A1S3VX86_VIGRR	unreviewed	equilibrative nucleotide transporter 1	LOC106779419	Vigna radiata var. radiata (Mung bean) (Phaseolus aureus)	412	integral component of membrane [GO:0016021]; nucleoside transmembrane transporter activity [GO:0005337]	GO:0005337; GO:0016021	K15014;
NP_001264695.1		R4GF68	R4GF68_CHICK	unreviewed	Uncharacterized protein	SZT2	Gallus gallus (Chicken)	3526	peroxisome [GO:0005777]	GO:0005777	K23298;
XP_013381198.1		A0A1S3H5B5	A0A1S3H5B5_LINUN	unreviewed	Harbinger transposase-derived nuclease (Putative nuclease HARBI1)	LOC106152227	Lingula unguis	348			K23222;
XP_001599500.1		K7J9N9	K7J9N9_NASVI	unreviewed	TPT domain-containing protein	100114508	Nasonia vitripennis (Parasitic wasp)	326	integral component of membrane [GO:0016021]	GO:0016021	K15281;
XP_013403867.2		A0A1S3J090	A0A1S3J090_LINUN	unreviewed	zinc finger protein 862	LOC106169080	Lingula unguis	704	protein dimerization activity [GO:0046983]	GO:0046983	
XP_002116976.1		B3S9K1	B3S9K1_TRIAD	unreviewed	Uncharacterized protein	TRIADDRAFT_64307	Trichoplax adhaerens (Trichoplax reptans)	1895	endosome [GO:0005768]; integral component of membrane [GO:0016021]; late endosome [GO:0005770]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; insulin-like growth factor binding [GO:0005520]; mannose binding [GO:0005537]; signaling receptor activity [GO:0038023]; lysosomal transport [GO:0007041]	GO:0005520; GO:0005537; GO:0005768; GO:0005770; GO:0005802; GO:0005886; GO:0007041; GO:0016021; GO:0038023	K06564;
XP_009055001.1		V4ABG2	V4ABG2_LOTGI	unreviewed	START domain-containing protein	LOTGIDRAFT_203934	Lottia gigantea (Giant owl limpet)	217	lipid binding [GO:0008289]	GO:0008289	
XP_004346239.2		A0A0D2WTP8	A0A0D2WTP8_CAPO3	unreviewed	Presequence translocated-associated motor subunit PAM17, mitochondrial	CAOG_005566	Capsaspora owczarzaki (strain ATCC 30864)	261	PAM complex, Tim23 associated import motor [GO:0001405]	GO:0001405	
XP_017967205.1		A0A484BCT4	A0A484BCT4_DRONA	unreviewed	DM domain-containing protein	AWZ03_006968	Drosophila navojoa (Fruit fly)	569	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565; GO:0046872	
XP_009305694.1		F1QHU6	F1QHU6_DANRE	unreviewed	Palmitoyltransferase (EC 2.3.1.225)	si:ch211-223a10.1	Danio rerio (Zebrafish) (Brachydanio rerio)	544	integral component of membrane [GO:0016021]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]	GO:0016021; GO:0019706	
XP_003961782.1		A0A674NEX6	A0A674NEX6_TAKRU	unreviewed	UDP-glucuronate decarboxylase 1 (EC 4.1.1.35) (UDP-glucuronic acid decarboxylase 1)	uxs1	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	418			
XP_017265010.1		A0A3Q3BBG0	A0A3Q3BBG0_KRYMA	unreviewed	Uncharacterized protein		Kryptolebias marmoratus (Mangrove killifish) (Rivulus marmoratus)	311	integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873]	GO:0016021; GO:0046873	K14715;
XP_001635120.1		A7RZV6	A7RZV6_NEMVE	unreviewed	2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain)	v1g183894	Nematostella vectensis (Starlet sea anemone)	444	mitochondrial alpha-ketoglutarate dehydrogenase complex [GO:0005947]; 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity [GO:0003863]; alpha-ketoacid dehydrogenase activity [GO:0003826]; branched-chain amino acid catabolic process [GO:0009083]	GO:0003826; GO:0003863; GO:0005947; GO:0009083	
XP_021090539.1		A0A3Q0DDD0	A0A3Q0DDD0_MESAU	unreviewed	AT-rich interactive domain-containing protein 3A isoform X2	Arid3a	Mesocricetus auratus (Golden hamster)	495	nucleus [GO:0005634]; DNA binding [GO:0003677]	GO:0003677; GO:0005634	
XP_013409923.1		A0A1S3JHT0	A0A1S3JHT0_LINUN	unreviewed	Metalloendopeptidase (EC 3.4.24.-)	LOC106173358	Lingula unguis	1217	membrane [GO:0016020]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270; GO:0016020	
XP_011139139.1		E2BHY1	E2BHY1_HARSA	unreviewed	Mps one binder kinase activator-like 4	EAI_00913	Harpegnathos saltator (Jerdon's jumping ant)	221	kinase activity [GO:0016301]	GO:0016301	
XP_012556708.1		T2M4M7	T2M4M7_HYDVU	unreviewed	Sentrin-specific protease 1	SENP1	Hydra vulgaris (Hydra) (Hydra attenuata)	569	cysteine-type peptidase activity [GO:0008234]	GO:0008234	K08592;
XP_001630426.1		A7SD51	A7SD51_NEMVE	unreviewed	Transmembrane 9 superfamily member	v1g235286	Nematostella vectensis (Starlet sea anemone)	656	integral component of membrane [GO:0016021]; membrane [GO:0016020]; protein localization to membrane [GO:0072657]	GO:0016020; GO:0016021; GO:0072657	
XP_001636436.1		A7RW15	A7RW15_NEMVE	unreviewed	Predicted protein	v1g202985	Nematostella vectensis (Starlet sea anemone)	338	integral component of membrane [GO:0016021]	GO:0016021	
XP_013090268.1		A0A2C9JZH5	A0A2C9JZH5_BIOGL	unreviewed	ATP-binding cassette sub-family G member 2 (EC 7.6.2.2) (Broad substrate specificity ATP-binding cassette transporter ABCG2) (Urate exporter)	106074097	Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)	687	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0016021; GO:0016887; GO:0042626	
XP_009051293.1		V4A2D9	V4A2D9_LOTGI	unreviewed	DUF3504 domain-containing protein	LOTGIDRAFT_174460	Lottia gigantea (Giant owl limpet)	296			
XP_013394236.1		A0A1S3I8P3	A0A1S3I8P3_LINUN	unreviewed	zinc finger protein 862-like	LOC106161759	Lingula unguis	659	protein dimerization activity [GO:0046983]	GO:0046983	
XP_007527033.1		A0A1S2ZZK1	A0A1S2ZZK1_ERIEU	unreviewed	ataxin-7-like protein 1 isoform X1	ATXN7L1	Erinaceus europaeus (Western European hedgehog)	965			
XP_009044590.1		V4BAX4	V4BAX4_LOTGI	unreviewed	CNH domain-containing protein	LOTGIDRAFT_135703	Lottia gigantea (Giant owl limpet)	863	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	GO:0006886; GO:0016192	K20177;
XP_013412243.1		A0A1S3JQK0	A0A1S3JQK0_LINUN	unreviewed	protein GPR107 isoform X1 (protein GPR107 isoform X2)	LOC106174993	Lingula unguis	642	integral component of membrane [GO:0016021]	GO:0016021	K22985;
XP_001626412.1		A7SPR2	A7SPR2_NEMVE	unreviewed	Predicted protein	v1g246637	Nematostella vectensis (Starlet sea anemone)	188	mitochondrial outer membrane [GO:0005741]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; regulation of apoptotic process [GO:0042981]	GO:0005741; GO:0008630; GO:0042803; GO:0042981; GO:0046982; GO:0097192	
XP_013406020.1		A0A1S3J6K3	A0A1S3J6K3_LINUN	unreviewed	Small nuclear RNA-activating complex polypeptide 3 (snRNA-activating protein complex subunit 3)	LOC106170610	Lingula unguis	401			K15210;
XP_002588886.1		C3ZRF8	C3ZRF8_BRAFL	unreviewed	ANK_REP_REGION domain-containing protein	BRAFLDRAFT_128799	Branchiostoma floridae (Florida lancelet) (Amphioxus)	501			
XP_002603928.1		C3YIK6	C3YIK6_BRAFL	unreviewed	C3H1-type domain-containing protein	BRAFLDRAFT_287482	Branchiostoma floridae (Florida lancelet) (Amphioxus)	463	Cajal body [GO:0015030]; cytoplasm [GO:0005737]; 3'-5'-exoribonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; snRNA binding [GO:0017069]; snRNA 3'-end processing [GO:0034472]	GO:0000175; GO:0003723; GO:0005737; GO:0015030; GO:0017069; GO:0034472; GO:0046872	K13202;
XP_018104530.1		A0A1L8H5T7	A0A1L8H5T7_XENLA	unreviewed	Peptidase C80 domain-containing protein	XELAEV_18014507mg	Xenopus laevis (African clawed frog)	2086	calcium ion binding [GO:0005509]	GO:0005509	
XP_011167736.1		E9J2E8	E9J2E8_SOLIN	unreviewed	Coproporphyrinogen oxidase (EC 1.3.3.3) (Fragment)	SINV_09923	Solenopsis invicta (Red imported fire ant) (Solenopsis wagneri)	392	coproporphyrinogen oxidase activity [GO:0004109]; porphyrin-containing compound biosynthetic process [GO:0006779]	GO:0004109; GO:0006779	K00228;
XP_013380363.1		A0A1S3H2X4	A0A1S3H2X4_LINUN	unreviewed	putative vacuolar protein sorting-associated protein TDA6	LOC106151573	Lingula unguis	356			
XP_011402599.1		A0A1X7VCE1	A0A1X7VCE1_AMPQE	unreviewed	Uncharacterized protein	105312006	Amphimedon queenslandica (Sponge)	513			
XP_017310784.1		A0A2D0PXL9	A0A2D0PXL9_ICTPU	unreviewed	coiled-coil domain-containing protein 97 isoform X4	ccdc97	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	331			
XP_018225327.1		A0A0W4ZFZ8	A0A0W4ZFZ8_PNEC8	unreviewed	Cytochrome c oxidase assembly protein COX20, mitochondrial	T552_02268	Pneumocystis carinii (strain B80) (Rat pneumocystis pneumonia agent) (Pneumocystis carinii f. sp. carinii)	90	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial cytochrome c oxidase assembly [GO:0033617]	GO:0005743; GO:0016021; GO:0033617	
XP_013081273.1		A0A2C9LE14	A0A2C9LE14_BIOGL	unreviewed	Uncharacterized protein	106066747	Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)	203			
XP_001633979.1		A7S303	A7S303_NEMVE	unreviewed	Predicted protein	v1g185023	Nematostella vectensis (Starlet sea anemone)	225	cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nucleus [GO:0005634]; Ran GTPase binding [GO:0008536]; intracellular transport [GO:0046907]; positive regulation of GTPase activity [GO:0043547]	GO:0005634; GO:0005643; GO:0005737; GO:0008536; GO:0043547; GO:0046907	
XP_012561004.1		T2MDG5	T2MDG5_HYDVU	unreviewed	KRR1 small subunit processome component (KRR-R motif-containing protein 1)	KRR1	Hydra vulgaris (Hydra) (Hydra attenuata)	358	nucleolus [GO:0005730]; RNA binding [GO:0003723]; rRNA processing [GO:0006364]	GO:0003723; GO:0005730; GO:0006364	K06961;
XP_001631784.1		A7S9A5	A7S9A5_NEMVE	unreviewed	Predicted protein	v1g167953	Nematostella vectensis (Starlet sea anemone)	315	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]; enzyme binding [GO:0019899]; protein kinase C binding [GO:0005080]; ribosome binding [GO:0043022]; positive regulation of protein phosphorylation [GO:0001934]; rescue of stalled ribosome [GO:0072344]	GO:0001934; GO:0005080; GO:0005634; GO:0005829; GO:0019899; GO:0022627; GO:0043022; GO:0072344	
XP_006638677.1		W5NGX4	W5NGX4_LEPOC	unreviewed	RING-type domain-containing protein		Lepisosteus oculatus (Spotted gar)	373	Fanconi anaemia nuclear complex [GO:0043240]; nucleus [GO:0005634]; ubiquitin protein ligase activity [GO:0061630]; DNA repair [GO:0006281]; interstrand cross-link repair [GO:0036297]; oocyte development [GO:0048599]; protein monoubiquitination [GO:0006513]	GO:0005634; GO:0006281; GO:0006513; GO:0036297; GO:0043240; GO:0048599; GO:0061630	
XP_001637526.1		A7RSR8	A7RSR8_NEMVE	unreviewed	Predicted protein	v1g240431	Nematostella vectensis (Starlet sea anemone)	366	cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; adenosine deaminase activity [GO:0004000]; adenosine catabolic process [GO:0006154]; hypoxanthine salvage [GO:0043103]; inosine biosynthetic process [GO:0046103]; negative regulation of adenosine receptor signaling pathway [GO:0060169]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]	GO:0004000; GO:0005829; GO:0006154; GO:0009168; GO:0009897; GO:0043103; GO:0046103; GO:0060169	
XP_002604725.1		C3YFT0	C3YFT0_BRAFL	unreviewed	Uncharacterized protein	BRAFLDRAFT_222394	Branchiostoma floridae (Florida lancelet) (Amphioxus)	180	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]	GO:0005737; GO:0016021	K13348;
XP_015429640.1		A0A154P834	A0A154P834_DUFNO	unreviewed	Leucine-zipper-like transcriptional regulator 1	WN55_09095	Dufourea novaeangliae (Sweat bee)	764			
XP_001625307.1		A7SSW1	A7SSW1_NEMVE	unreviewed	Predicted protein	v1g247209	Nematostella vectensis (Starlet sea anemone)	480	integral component of membrane [GO:0016021]; membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0016021; GO:0022857	
XP_001628461.1		A7SIR0	A7SIR0_NEMVE	unreviewed	Predicted protein	v1g245525	Nematostella vectensis (Starlet sea anemone)	144	integral component of membrane [GO:0016021]	GO:0016021	
WP_064333646.1		A0A1A9GBI4	A0A1A9GBI4_9RHIZ	unreviewed	Creatininase	shn_25500	Shinella sp. HZN7	404	creatinase activity [GO:0016980]	GO:0016980	K08688;
XP_017326226.1		A0A2D0R842	A0A2D0R842_ICTPU	unreviewed	uncharacterized protein LOC108266908	LOC108266908	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	332			
XP_001625400.1		A7SSM3	A7SSM3_NEMVE	unreviewed	Predicted protein	v1g247164	Nematostella vectensis (Starlet sea anemone)	258	death domain binding [GO:0070513]; protease binding [GO:0002020]; regulation of apoptotic process [GO:0042981]	GO:0002020; GO:0042981; GO:0070513	
XP_002110675.1		B3RTE2	B3RTE2_TRIAD	unreviewed	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.143) (Beta-1,2-N-acetylglucosaminyltransferase II) (GlcNAc-T II) (Mannoside acetylglucosaminyltransferase 2) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase II)	TRIADDRAFT_54933	Trichoplax adhaerens (Trichoplax reptans)	425	Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; integral component of membrane [GO:0016021]; alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity [GO:0008455]; oligosaccharide biosynthetic process [GO:0009312]; protein N-linked glycosylation [GO:0006487]	GO:0000139; GO:0005795; GO:0006487; GO:0008455; GO:0009312; GO:0016021	
XP_013080483.1		A0A2C9JSB8	A0A2C9JSB8_BIOGL	unreviewed	Uncharacterized protein	106066061	Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)	426	transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]	GO:0016747	
XP_018545476.1		A0A4W6F558	A0A4W6F558_LATCA	unreviewed	Uncharacterized protein	vcpkmt	Lates calcarifer (Barramundi) (Holocentrus calcarifer)	222			K21806;
XP_002118405.1		B3SDT4	B3SDT4_TRIAD	unreviewed	Predicted protein	TRIADDRAFT_62441	Trichoplax adhaerens (Trichoplax reptans)	282	cytoplasm [GO:0005737]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005737	
XP_001642024.1		A7RER6	A7RER6_NEMVE	unreviewed	Predicted protein	v1g176908	Nematostella vectensis (Starlet sea anemone)	541	nucleus [GO:0005634]; protein-arginine N-methyltransferase activity [GO:0016274]	GO:0005634; GO:0016274	
XP_019864508.1		A0A1X7VK51	A0A1X7VK51_AMPQE	unreviewed	RING-type domain-containing protein	109593842	Amphimedon queenslandica (Sponge)	398			
XP_019209395.1		A0A669DI79	A0A669DI79_ORENI	unreviewed	Uncharacterized protein	LOC109198414	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	1357			
XP_015463840.1		A0A3B1KFF6	A0A3B1KFF6_ASTMX	unreviewed	Sidoreflexin		Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)	321	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; ion transmembrane transporter activity [GO:0015075]	GO:0015075; GO:0016021; GO:0031966	K23501;
XP_012877401.1		A0A1S3FLG3	A0A1S3FLG3_DIPOR	unreviewed	mitotic checkpoint protein BUB3 isoform X1	Bub3	Dipodomys ordii (Ord's kangaroo rat)	328			
XP_002590167.1		C3ZMS1	C3ZMS1_BRAFL	unreviewed	Aa_trans domain-containing protein	BRAFLDRAFT_90902	Branchiostoma floridae (Florida lancelet) (Amphioxus)	521	integral component of membrane [GO:0016021]; amino acid transmembrane transporter activity [GO:0015171]; amino acid transmembrane transport [GO:0003333]	GO:0003333; GO:0015171; GO:0016021	K14996;
XP_006008717.1		H3AJX6	H3AJX6_LATCH	unreviewed	RWD domain-containing protein	RWDD2B	Latimeria chalumnae (Coelacanth)	293			
XP_011931202.1		A0A2K5KK30	A0A2K5KK30_CERAT	unreviewed	ANK_REP_REGION domain-containing protein	INVS	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	1064	negative regulation of canonical Wnt signaling pathway [GO:0090090]	GO:0090090	
XP_004977460.1		A0A368S1K3	A0A368S1K3_SETIT	unreviewed	Uncharacterized protein	SETIT_7G311400v2	Setaria italica (Foxtail millet) (Panicum italicum)	180	calcium ion binding [GO:0005509]	GO:0005509	K02183;
XP_007525464.1		A0A1S2ZVZ5	A0A1S2ZVZ5_ERIEU	unreviewed	Glucosylceramidase (EC 3.2.1.45)	GBA	Erinaceus europaeus (Western European hedgehog)	538	glucosylceramidase activity [GO:0004348]; sphingolipid metabolic process [GO:0006665]	GO:0004348; GO:0006665	
XP_013395206.1		A0A1S3IBH1	A0A1S3IBH1_LINUN	unreviewed	Protein Wnt	LOC106162451	Lingula unguis	356	extracellular region [GO:0005576]; signaling receptor binding [GO:0005102]; multicellular organism development [GO:0007275]; Wnt signaling pathway [GO:0016055]	GO:0005102; GO:0005576; GO:0007275; GO:0016055	K01558;
XP_006002511.1		H3AK01	H3AK01_LATCH	unreviewed	Beta-1,4-glucuronyltransferase 1 (I-beta-1,3-N-acetylglucosaminyltransferase) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)	B4GAT1	Latimeria chalumnae (Coelacanth)	432	glucuronosyltransferase activity [GO:0015020]; muscle fiber development [GO:0048747]; protein glycosylation [GO:0006486]	GO:0006486; GO:0015020; GO:0048747	K21032;
XP_009055131.1		V4BYT3	V4BYT3_LOTGI	unreviewed	Uncharacterized protein	LOTGIDRAFT_232526	Lottia gigantea (Giant owl limpet)	304	catalytic activity [GO:0003824]	GO:0003824	K12663;
XP_015822305.1		A0A1A7ZMV5	A0A1A7ZMV5_NOTFU	unreviewed	GDP-mannose pyrophosphorylase Aa	GMPPAA	Nothobranchius furzeri (Turquoise killifish)	422	nucleotidyltransferase activity [GO:0016779]; biosynthetic process [GO:0009058]	GO:0009058; GO:0016779	K00966;
NP_001279838.1		K4FSD1	K4FSD1_CALMI	unreviewed	Proliferation-associated protein 2G4	pa2g4	Callorhinchus milii (Ghost shark)	393	cytoplasm [GO:0005737]	GO:0005737	
XP_014776248.1		A0A0L8ICV5	A0A0L8ICV5_OCTBM	unreviewed	TM2 domain-containing protein	OCBIM_22018200mg	Octopus bimaculoides (California two-spotted octopus)	188	integral component of membrane [GO:0016021]	GO:0016021	
XP_001637856.1		A7RRN8	A7RRN8_NEMVE	unreviewed	Predicted protein	v1g240214	Nematostella vectensis (Starlet sea anemone)	388	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III assembly [GO:0034551]	GO:0005743; GO:0016021; GO:0034551	
XP_971953.1		D6WEE5	D6WEE5_TRICA	unreviewed	Negative elongation factor E	TcasGA2_TC003247	Tribolium castaneum (Red flour beetle)	270	NELF complex [GO:0032021]; translation elongation factor activity [GO:0003746]; negative regulation of transcription elongation from RNA polymerase II promoter [GO:0034244]	GO:0003746; GO:0032021; GO:0034244	K15182;
XP_018332761.1		A0A1W4X9G8	A0A1W4X9G8_AGRPL	unreviewed	mitoguardin	LOC108742191	Agrilus planipennis (Emerald ash borer) (Agrilus marcopoli)	526	mitochondrial fusion [GO:0008053]	GO:0008053	
XP_003382517.1		A0A1X7VVJ2	A0A1X7VVJ2_AMPQE	unreviewed	Ribosomal protein L15	100633790	Amphimedon queenslandica (Sponge)	204	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412	K02877;
XP_003438969.1		A0A669BZB4	A0A669BZB4_ORENI	unreviewed	Uncharacterized protein	LOC100691864	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	229			
XP_005999796.1		H3AJT5	H3AJT5_LATCH	unreviewed	Exocyst complex component 3 (Exocyst complex component Sec6)	EXOC3	Latimeria chalumnae (Coelacanth)	747	exocyst [GO:0000145]; exocytosis [GO:0006887]	GO:0000145; GO:0006887	K06110;
