yourlist:M20200824A94466D2655679D1FD8953E075198DA850B369V	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
UPI000C017887	A0A2B4RJ35	A0A2B4RJ35_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene19368	Stylophora pistillata (Smooth cauliflower coral)	166			
UPI000C010F2F	A0A2B4RLF3	A0A2B4RLF3_STYPI	unreviewed	Phosphoglycerate mutase (2,3-diphosphoglycerate-independent) (EC 5.4.2.12)	gpmI1 AWC38_SpisGene17675	Stylophora pistillata (Smooth cauliflower coral)	515	cytoplasm [GO:0005737]; manganese ion binding [GO:0030145]; phosphoglycerate mutase activity [GO:0004619]; glucose catabolic process [GO:0006007]	GO:0004619; GO:0005737; GO:0006007; GO:0030145	
UPI001267579A	A0A5N4AMQ0	A0A5N4AMQ0_PHOPY	unreviewed	Uncharacterized protein	PPYR_09613	Photinus pyralis (Common eastern firefly) (Lampyris pyralis)	549	metal ion binding [GO:0046872]	GO:0046872	
UPI000C01C688	A0A2B4S0H4	A0A2B4S0H4_STYPI	unreviewed	Trimethylguanosine synthase	Tgs1 AWC38_SpisGene12082	Stylophora pistillata (Smooth cauliflower coral)	1123	methyltransferase activity [GO:0008168]; 7-methylguanosine RNA capping [GO:0009452]; RNA methylation [GO:0001510]	GO:0001510; GO:0008168; GO:0009452	
UPI000C015585	A0A2B4RAA3	A0A2B4RAA3_STYPI	unreviewed	Complement factor B	Cfb AWC38_SpisGene21788	Stylophora pistillata (Smooth cauliflower coral)	910	extracellular region [GO:0005576]; serine-type endopeptidase activity [GO:0004252]; complement activation [GO:0006956]	GO:0004252; GO:0005576; GO:0006956	
UPI000B45997E	A0A210PP85	A0A210PP85_MIZYE	unreviewed	E3 ubiquitin-protein transferase MAEA (Macrophage erythroblast attacher)	KP79_PYT17214	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	389	negative regulation of gluconeogenesis [GO:0045721]	GO:0045721	
UPI000C015D5F	A0A2B4RWN9	A0A2B4RWN9_STYPI	unreviewed	Ankyrin repeat domain-containing protein 55	Ankrd55 AWC38_SpisGene13922	Stylophora pistillata (Smooth cauliflower coral)	714			
UPI0002228773	W4YG18	W4YG18_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	684	zinc ion binding [GO:0008270]	GO:0008270	
UPI000F3C9AF0	A0A3M6TEA9	A0A3M6TEA9_9CNID	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	pdam_00008074	Pocillopora damicornis	355	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	
UPI000C00D630	A0A2B4SNK6	A0A2B4SNK6_STYPI	unreviewed	Calmodulin	3 AWC38_SpisGene4599	Stylophora pistillata (Smooth cauliflower coral)	172	calcium ion binding [GO:0005509]	GO:0005509	
UPI000B45B0EF	A0A210QXP4	A0A210QXP4_MIZYE	unreviewed	Ankyrin repeat and SAM domain-containing protein 1A	KP79_PYT13607	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	391			
UPI000F0A447F	A0A4W4GMH4	A0A4W4GMH4_ELEEL	unreviewed	TNF receptor-associated factor (EC 2.3.2.27)	traf6	Electrophorus electricus (Electric eel) (Gymnotus electricus)	541	cytoplasm [GO:0005737]; tumor necrosis factor receptor binding [GO:0005164]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; innate immune response [GO:0045087]; neutrophil chemotaxis [GO:0030593]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of apoptotic process [GO:0042981]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; response to bacterium [GO:0009617]; response to virus [GO:0009615]; signal transduction [GO:0007165]	GO:0004842; GO:0005164; GO:0005737; GO:0007165; GO:0008270; GO:0009615; GO:0009617; GO:0030593; GO:0042981; GO:0043122; GO:0045087; GO:0045893	
UPI000B45E38A	A0A210Q1G7	A0A210Q1G7_MIZYE	unreviewed	Uncharacterized protein	KP79_PYT07949	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	927	calcium ion binding [GO:0005509]	GO:0005509	
UPI000C302605	A0A3P8SKN6	A0A3P8SKN6_AMPPE	unreviewed	Pre-mRNA-splicing factor SPF27		Amphiprion percula (Orange clownfish) (Lutjanus percula)	225	mRNA processing [GO:0006397]	GO:0006397	
UPI000C302605	A0A3Q1CN15	A0A3Q1CN15_AMPOC	unreviewed	Pre-mRNA-splicing factor SPF27		Amphiprion ocellaris (Clown anemonefish)	225	mRNA processing [GO:0006397]	GO:0006397	
UPI0009B4C6B8	A0A3Q3JD95	A0A3Q3JD95_MONAL	unreviewed	Aminotran_1_2 domain-containing protein		Monopterus albus (Swamp eel)	570	pyridoxal phosphate binding [GO:0030170]; transferase activity [GO:0016740]; biosynthetic process [GO:0009058]	GO:0009058; GO:0016740; GO:0030170	
UPI000F3BD91E	A0A3M6TDT7	A0A3M6TDT7_9CNID	unreviewed	Uncharacterized protein	pdam_00006123	Pocillopora damicornis	353	protein homooligomerization [GO:0051260]	GO:0051260	
UPI000B4594A2	A0A210QSV7	A0A210QSV7_MIZYE	unreviewed	Cyclin-dependent kinase 1	KP79_PYT05609	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	304	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524	
UPI000C011EFD	A0A2B4SUE9	A0A2B4SUE9_STYPI	unreviewed	PNT domain-containing protein	AWC38_SpisGene2362	Stylophora pistillata (Smooth cauliflower coral)	2619	host cell nucleus [GO:0042025]; sequence-specific DNA binding [GO:0043565]	GO:0042025; GO:0043565	
UPI000C00EE5C	A0A2B4RKH1	A0A2B4RKH1_STYPI	unreviewed	Transporter	Slc6a19 AWC38_SpisGene18715	Stylophora pistillata (Smooth cauliflower coral)	597	integral component of membrane [GO:0016021]; symporter activity [GO:0015293]	GO:0015293; GO:0016021	
UPI000C00F9D9	A0A2B4SW88	A0A2B4SW88_STYPI	unreviewed	Long-chain-fatty-acid--CoA ligase 1	ACSL1 AWC38_SpisGene2263	Stylophora pistillata (Smooth cauliflower coral)	688	ligase activity [GO:0016874]	GO:0016874	
UPI000C01B1A8	A0A2B4RCT6	A0A2B4RCT6_STYPI	unreviewed	Steroid 17-alpha-hydroxylase/17,20 lyase	cyp17a1 AWC38_SpisGene20831	Stylophora pistillata (Smooth cauliflower coral)	510	integral component of membrane [GO:0016021]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; lyase activity [GO:0016829]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0016829; GO:0020037	
UPI001145CC55	A0A674NZH0	A0A674NZH0_TAKRU	unreviewed	Uncharacterized protein	slc30a5	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	772			
UPI000F7D4F8A	A0A4W2G0Z7	A0A4W2G0Z7_BOBOX	unreviewed	Phosphoinositide phospholipase C (EC 3.1.4.11)	PLCH2	Bos indicus x Bos taurus (Hybrid cattle)	1402	calcium ion binding [GO:0005509]; phosphatidylinositol phospholipase C activity [GO:0004435]; intracellular signal transduction [GO:0035556]; lipid catabolic process [GO:0016042]	GO:0004435; GO:0005509; GO:0016042; GO:0035556	
UPI000F3B3A69	A0A3M6TFQ2	A0A3M6TFQ2_9CNID	unreviewed	Uncharacterized protein	pdam_00002232	Pocillopora damicornis	330	chromosome, centromeric region [GO:0000775]; CENP-A containing nucleosome assembly [GO:0034080]	GO:0000775; GO:0034080	
UPI000F3E8F97	A0A3M6UMW1	A0A3M6UMW1_9CNID	unreviewed	Uncharacterized protein	pdam_00012717	Pocillopora damicornis	192	integral component of membrane [GO:0016021]	GO:0016021	
UPI000F3BE140	A0A3M6UTC3	A0A3M6UTC3_9CNID	unreviewed	DUF1794 domain-containing protein	pdam_00006328	Pocillopora damicornis	196			
UPI000C00CC36	A0A2B4RKF1	A0A2B4RKF1_STYPI	unreviewed	L-2-hydroxyglutarate dehydrogenase, mitochondrial	AWC38_SpisGene18727	Stylophora pistillata (Smooth cauliflower coral)	451	oxidoreductase activity [GO:0016491]	GO:0016491	
UPI000F3DE39D	A0A3M6T7H7	A0A3M6T7H7_9CNID	unreviewed	Uncharacterized protein	pdam_00011396	Pocillopora damicornis	356	oxidation-reduction process [GO:0055114]	GO:0055114	
UPI000F3FCA25	A0A3M6U9U0	A0A3M6U9U0_9CNID	unreviewed	Polyadenylate-binding protein (PABP)	pdam_00018319	Pocillopora damicornis	637	cytoplasm [GO:0005737]; RNA binding [GO:0003723]	GO:0003723; GO:0005737	
UPI000C01E9D4	A0A2B4RUV6	A0A2B4RUV6_STYPI	unreviewed	SUMO-activating enzyme subunit	uba2 AWC38_SpisGene13254	Stylophora pistillata (Smooth cauliflower coral)	631	SUMO activating enzyme complex [GO:0031510]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; SUMO activating enzyme activity [GO:0019948]; protein sumoylation [GO:0016925]	GO:0005524; GO:0016925; GO:0019948; GO:0031510; GO:0046872	
UPI000C004103	A0A2B4RXJ2	A0A2B4RXJ2_STYPI	unreviewed	Interleukin enhancer-binding factor 2-like	ilf2 AWC38_SpisGene14462	Stylophora pistillata (Smooth cauliflower coral)	406			
UPI000F3FA0C2	A0A3M6TL17	A0A3M6TL17_9CNID	unreviewed	Acyltransferase (EC 2.3.1.-)	pdam_00001323	Pocillopora damicornis	343	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]	GO:0005789; GO:0016021; GO:0016747	
UPI000C312DED	A0A3Q1CRK1	A0A3Q1CRK1_AMPOC	unreviewed	DNA polymerase lambda (EC 2.7.7.7)		Amphiprion ocellaris (Clown anemonefish)	569	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; DNA repair [GO:0006281]	GO:0003677; GO:0003887; GO:0005634; GO:0006281; GO:0046872	
UPI000C00DDCD	A0A2B4RXH5	A0A2B4RXH5_STYPI	unreviewed	Solute carrier family 22 member 15-like	slc22a15b AWC38_SpisGene14260	Stylophora pistillata (Smooth cauliflower coral)	511	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	
UPI000F3EF045	A0A3M6U653	A0A3M6U653_9CNID	unreviewed	Uncharacterized protein	pdam_00003873	Pocillopora damicornis	1229	integral component of membrane [GO:0016021]; multicellular organism development [GO:0007275]	GO:0007275; GO:0016021	
UPI000F409801	A0A3M6UF06	A0A3M6UF06_9CNID	unreviewed	BTB domain-containing protein	pdam_00019213	Pocillopora damicornis	429	voltage-gated potassium channel complex [GO:0008076]; voltage-gated potassium channel activity [GO:0005249]; protein homooligomerization [GO:0051260]; regulation of ion transmembrane transport [GO:0034765]	GO:0005249; GO:0008076; GO:0034765; GO:0051260	
UPI000F09C635	A0A4W4HC23	A0A4W4HC23_ELEEL	unreviewed	U6 snRNA-associated Sm-like protein LSm4	lsm4 LSM4	Electrophorus electricus (Electric eel) (Gymnotus electricus)	142	spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process [GO:0000956]	GO:0000398; GO:0000956; GO:0003723; GO:0005681	
UPI000F3B5398	A0A3M6UIM7	A0A3M6UIM7_9CNID	unreviewed	Uncharacterized protein	pdam_00004397	Pocillopora damicornis	549	integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]	GO:0016021; GO:0055085	
UPI000242D2C9	G7MIM7	G7MIM7_MACMU	unreviewed	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)	USP4	Macaca mulatta (Rhesus macaque)	963	thiol-dependent ubiquitin-specific protease activity [GO:0004843]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0004843; GO:0006511; GO:0016579	K11835;
UPI000242D2C9	H9EV51	H9EV51_MACMU	unreviewed	DUSP domain-containing protein	EGK_11640	Macaca mulatta (Rhesus macaque)	963	thiol-dependent ubiquitin-specific protease activity [GO:0004843]; protein deubiquitination [GO:0016579]	GO:0004843; GO:0016579	K11835;
UPI001172E7CF	A0A563VWK8	A0A563VWK8_9CYAN	unreviewed	Tetratricopeptide repeat protein	H1P_3790001	Hyella patelloides LEGE 07179	282			
UPI000F41DF1B	A0A3M6TJ44	A0A3M6TJ44_9CNID	unreviewed	Autophagy protein 5	pdam_00012789	Pocillopora damicornis	274	phagophore assembly site membrane [GO:0034045]; autophagy [GO:0006914]	GO:0006914; GO:0034045	
UPI000C016E61	A0A2B4SXM8	A0A2B4SXM8_STYPI	unreviewed	Beta-galactosidase (EC 3.2.1.23)	GLB1L3 AWC38_SpisGene1195	Stylophora pistillata (Smooth cauliflower coral)	681	beta-galactosidase activity [GO:0004565]; carbohydrate metabolic process [GO:0005975]	GO:0004565; GO:0005975	
UPI000C01D679	A0A2B4S268	A0A2B4S268_STYPI	unreviewed	THAP-type domain-containing protein	AWC38_SpisGene11452 AWC38_SpisGene11454	Stylophora pistillata (Smooth cauliflower coral)	506	DNA binding [GO:0003677]	GO:0003677	
UPI000F401D95	A0A3M6T9W0	A0A3M6T9W0_9CNID	unreviewed	Uncharacterized protein	pdam_00003124	Pocillopora damicornis	1349	signal transduction [GO:0007165]	GO:0007165	
UPI000F3DE5CE	A0A3M6UJ37	A0A3M6UJ37_9CNID	unreviewed	Ammonium_transp domain-containing protein	pdam_00000443	Pocillopora damicornis	586	integral component of membrane [GO:0016021]; ammonium transmembrane transporter activity [GO:0008519]	GO:0008519; GO:0016021	
UPI000F3B34E6	A0A3M6UE15	A0A3M6UE15_9CNID	unreviewed	GLTSCR1 domain-containing protein	pdam_00012193	Pocillopora damicornis	1077			
UPI000C00FA9F	A0A2B4S6F4	A0A2B4S6F4_STYPI	unreviewed	Golgi-associated plant pathogenesis-related protein 1	Glipr2 AWC38_SpisGene10435	Stylophora pistillata (Smooth cauliflower coral)	826			
UPI000F3E58E1	A0A3M6TGF4	A0A3M6TGF4_9CNID	unreviewed	LisH domain-containing protein	pdam_00009475	Pocillopora damicornis	718			
UPI000C016007	A0A2B4S6D2	A0A2B4S6D2_STYPI	unreviewed	DDB1-and CUL4-associated factor 5	Dcaf5 AWC38_SpisGene9926	Stylophora pistillata (Smooth cauliflower coral)	774			
UPI0009DA3906	A0A3P9MIG9	A0A3P9MIG9_ORYLA	unreviewed	Vitamin-K-epoxide reductase (warfarin-sensitive) (EC 1.17.4.4)		Oryzias latipes (Japanese rice fish) (Japanese killifish)	207	integral component of membrane [GO:0016021]; vitamin-K-epoxide reductase (warfarin-sensitive) activity [GO:0047057]; vitamin K metabolic process [GO:0042373]	GO:0016021; GO:0042373; GO:0047057	
UPI000D279436	A0A2P4QDU4	A0A2P4QDU4_RHIID	unreviewed	Uncharacterized protein	GLOIN_2v1872628	Rhizophagus irregularis (strain DAOM 181602 / DAOM 197198 / MUCL 43194) (Arbuscular mycorrhizal fungus) (Glomus intraradices)	783			
UPI000F3B2AEA	A0A3M6UWY4	A0A3M6UWY4_9CNID	unreviewed	Battenin	pdam_00000152	Pocillopora damicornis	438	integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]	GO:0005765; GO:0016021	
UPI000F3C8D18	A0A3M6TBK4	A0A3M6TBK4_9CNID	unreviewed	Uncharacterized protein	pdam_00005927	Pocillopora damicornis	230			
UPI000F3BBD4F	A0A3M6UVJ4	A0A3M6UVJ4_9CNID	unreviewed	Uncharacterized protein	pdam_00004941	Pocillopora damicornis	1713			
UPI000C00FCBE	A0A2B4S5U2	A0A2B4S5U2_STYPI	unreviewed	60S ribosomal protein L6	RPL6 AWC38_SpisGene11546	Stylophora pistillata (Smooth cauliflower coral)	239	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412	
UPI000CAD29C8	A0A2J7QU46	A0A2J7QU46_9NEOP	unreviewed	Integral membrane protein GPR155	B7P43_G05164	Cryptotermes secundus	861	integral component of membrane [GO:0016021]; intracellular signal transduction [GO:0035556]; transmembrane transport [GO:0055085]	GO:0016021; GO:0035556; GO:0055085	
UPI000C00DF0A	A0A2B4SHX6	A0A2B4SHX6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene6563	Stylophora pistillata (Smooth cauliflower coral)	196			
UPI000F4119D9	A0A3M6UPG7	A0A3M6UPG7_9CNID	unreviewed	Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin)	KATNA1 pdam_00013324	Pocillopora damicornis	522	centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; spindle pole [GO:0000922]; ATP binding [GO:0005524]; isomerase activity [GO:0016853]; microtubule binding [GO:0008017]; microtubule-severing ATPase activity [GO:0008568]; cell cycle [GO:0007049]; cell division [GO:0051301]	GO:0000922; GO:0005524; GO:0005737; GO:0005813; GO:0005874; GO:0007049; GO:0008017; GO:0008568; GO:0016853; GO:0051301	
UPI000C01F087	A0A2B4SC09	A0A2B4SC09_STYPI	unreviewed	Solute carrier family 35 member E2	Slc35e2 AWC38_SpisGene9179	Stylophora pistillata (Smooth cauliflower coral)	362	integral component of membrane [GO:0016021]	GO:0016021	
UPI000C017E4A	A0A2B4SJF1	A0A2B4SJF1_STYPI	unreviewed	N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase	AWC38_SpisGene6709	Stylophora pistillata (Smooth cauliflower coral)	380	hydrolase activity [GO:0016787]	GO:0016787	
UPI000F4061C7	A0A3M6UM93	A0A3M6UM93_9CNID	unreviewed	Uncharacterized protein	pdam_00018592	Pocillopora damicornis	410	integral component of membrane [GO:0016021]	GO:0016021	
UPI000F3DB44B	A0A3M6UC83	A0A3M6UC83_9CNID	unreviewed	Uncharacterized protein	pdam_00004104	Pocillopora damicornis	623	integral component of membrane [GO:0016021]	GO:0016021	
UPI000F40172A	A0A3M6T4Z2	A0A3M6T4Z2_9CNID	unreviewed	MYND-type domain-containing protein	pdam_00005191	Pocillopora damicornis	366			
UPI000F40D5BB	A0A3M6UXW2	A0A3M6UXW2_9CNID	unreviewed	NAD_binding_9 domain-containing protein	pdam_00022565	Pocillopora damicornis	649			
UPI000F3D18FE	A0A3M6TJG4	A0A3M6TJG4_9CNID	unreviewed	Uncharacterized protein	pdam_00013508	Pocillopora damicornis	1288	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled xenobiotic transmembrane transporter activity [GO:0008559]; xenobiotic transport [GO:0042908]	GO:0005524; GO:0008559; GO:0016021; GO:0016887; GO:0042908	
UPI000F3F7FE8	A0A3M6UII9	A0A3M6UII9_9CNID	unreviewed	L-lactate dehydrogenase (EC 1.1.1.27)	pdam_00018701	Pocillopora damicornis	332	cytoplasm [GO:0005737]; L-lactate dehydrogenase activity [GO:0004459]; carbohydrate metabolic process [GO:0005975]; carboxylic acid metabolic process [GO:0019752]	GO:0004459; GO:0005737; GO:0005975; GO:0019752	
UPI000C007741	A0A2B4RUM1	A0A2B4RUM1_STYPI	unreviewed	Cytochrome P450 3A11	Cyp3a11 AWC38_SpisGene15558	Stylophora pistillata (Smooth cauliflower coral)	503	integral component of membrane [GO:0016021]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037	
UPI000F3E934E	A0A3M6TW27	A0A3M6TW27_9CNID	unreviewed	Complex I-19kD (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8) (NADH-ubiquinone oxidoreductase 19 kDa subunit)	pdam_00008417	Pocillopora damicornis	128	mitochondrion [GO:0005739]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]	GO:0005739; GO:0006120	
UPI000F3FE500	A0A3M6UCV4	A0A3M6UCV4_9CNID	unreviewed	TIM21-like protein, mitochondrial	pdam_00025540	Pocillopora damicornis	236	integral component of membrane [GO:0016021]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]; protein import into mitochondrial matrix [GO:0030150]	GO:0005744; GO:0016021; GO:0030150	
UPI000F3FB50B	A0A3M6UTR0	A0A3M6UTR0_9CNID	unreviewed	Uncharacterized protein	pdam_00015783	Pocillopora damicornis	319	integral component of membrane [GO:0016021]	GO:0016021	
UPI000C010F99	A0A2B4RW82	A0A2B4RW82_STYPI	unreviewed	FMN_red domain-containing protein	AWC38_SpisGene14962	Stylophora pistillata (Smooth cauliflower coral)	200	oxidoreductase activity [GO:0016491]	GO:0016491	
UPI000F3DE264	A0A3M6U786	A0A3M6U786_9CNID	unreviewed	Uncharacterized protein	pdam_00017435	Pocillopora damicornis	665			
UPI000C0195A7	A0A2B4RJC5	A0A2B4RJC5_STYPI	unreviewed	Zinc finger protein sens	sens AWC38_SpisGene17129	Stylophora pistillata (Smooth cauliflower coral)	318			
UPI000F3BC565	A0A3M6UZD5	A0A3M6UZD5_9CNID	unreviewed	Uncharacterized protein	pdam_00014607	Pocillopora damicornis	568			
UPI000F3AAED4	A0A3M6TD46	A0A3M6TD46_9CNID	unreviewed	Dihydrofolate reductase (EC 1.5.1.3)	pdam_00017921	Pocillopora damicornis	203	dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; glycine biosynthetic process [GO:0006545]; tetrahydrofolate biosynthetic process [GO:0046654]	GO:0004146; GO:0006545; GO:0046654; GO:0050661	
UPI000C00F75D	A0A2B4SLY7	A0A2B4SLY7_STYPI	unreviewed	Acid maltase (EC 3.2.1.20) (Lysosomal alpha-glucosidase)	MGAM AWC38_SpisGene5637	Stylophora pistillata (Smooth cauliflower coral)	932	carbohydrate binding [GO:0030246]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	GO:0004553; GO:0005975; GO:0030246	
UPI001066893A	A0A4R8JTX4	A0A4R8JTX4_9BURK	unreviewed	L-fuconate dehydratase (EC 4.2.1.68)	B0G81_0937	Paraburkholderia sp. BL6665CI2N2	432	L-fuconate dehydratase activity [GO:0050023]; metal ion binding [GO:0046872]; carbohydrate catabolic process [GO:0016052]; cellular amino acid catabolic process [GO:0009063]	GO:0009063; GO:0016052; GO:0046872; GO:0050023	
UPI000F3C81A1	A0A3M6V2D3	A0A3M6V2D3_9CNID	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	pdam_00001145	Pocillopora damicornis	325	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	
UPI000FE2667E	A0A413LNN0	A0A413LNN0_9BACT	unreviewed	L-rhamnose mutarotase	DXA15_00830	Parabacteroides sp. AM58-2XD	107	racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]	GO:0016857	
UPI000C00D2E5	A0A2B4RW81	A0A2B4RW81_STYPI	unreviewed	Nuclear factor NF-kappa-B p105 subunit	NFKB1 AWC38_SpisGene15070	Stylophora pistillata (Smooth cauliflower coral)	379			
UPI000C007052	A0A2B4RBU5	A0A2B4RBU5_STYPI	unreviewed	Protein Mpv17	MPV17 AWC38_SpisGene21588	Stylophora pistillata (Smooth cauliflower coral)	205	integral component of membrane [GO:0016021]	GO:0016021	
UPI000C00BC59	A0A2B4RD32	A0A2B4RD32_STYPI	unreviewed	Cytoplasmic dynein 1 intermediate chain 2	Dync1i2 AWC38_SpisGene20724	Stylophora pistillata (Smooth cauliflower coral)	623	cytoplasmic dynein complex [GO:0005868]; microtubule-based movement [GO:0007018]	GO:0005868; GO:0007018	
UPI000F3ECCB3	A0A3M6TF74	A0A3M6TF74_9CNID	unreviewed	Protein kinase domain-containing protein	pdam_00022973	Pocillopora damicornis	369	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524	
UPI000C00F8F2	A0A2B4SIL2	A0A2B4SIL2_STYPI	unreviewed	Leucine zipper-EF-hand-containing transmembrane protein 1 (Mitochondrial proton/calcium exchanger protein)	letm1 AWC38_SpisGene6066	Stylophora pistillata (Smooth cauliflower coral)	769	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; calcium ion binding [GO:0005509]; ribosome binding [GO:0043022]	GO:0005509; GO:0005739; GO:0016021; GO:0043022	
UPI00015B1AA0	A7S4J8	A7S4J8_NEMVE	unreviewed	Predicted protein	v1g206710	Nematostella vectensis (Starlet sea anemone)	454	integral component of membrane [GO:0016021]; amino acid transmembrane transporter activity [GO:0015171]; amino acid transmembrane transport [GO:0003333]	GO:0003333; GO:0015171; GO:0016021	
UPI000C007B90	A0A2B4S7C9	A0A2B4S7C9_STYPI	unreviewed	Tetratricopeptide repeat protein 28	TTC28 AWC38_SpisGene8771	Stylophora pistillata (Smooth cauliflower coral)	1161			
UPI000F3CFA8D	A0A3M6UJM6	A0A3M6UJM6_9CNID	unreviewed	Uncharacterized protein	pdam_00000385	Pocillopora damicornis	162	integral component of membrane [GO:0016021]	GO:0016021	
UPI000F3BBBE7	A0A3M6UF50	A0A3M6UF50_9CNID	unreviewed	Uncharacterized protein	pdam_00015161	Pocillopora damicornis	347	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA recombination [GO:0006310]; double-strand break repair [GO:0006302]	GO:0003677; GO:0005634; GO:0006302; GO:0006310	
UPI000F3AAD67	A0A3M6TFF0	A0A3M6TFF0_9CNID	unreviewed	Uncharacterized protein	pdam_00002253	Pocillopora damicornis	474			
UPI000F3E0FBA	A0A3M6U3B9	A0A3M6U3B9_9CNID	unreviewed	Inositol-3-phosphate synthase (EC 5.5.1.4)	pdam_00015371	Pocillopora damicornis	585	inositol-3-phosphate synthase activity [GO:0004512]; inositol biosynthetic process [GO:0006021]; phospholipid biosynthetic process [GO:0008654]	GO:0004512; GO:0006021; GO:0008654	
UPI000F3FFF29	A0A3M6UQW2	A0A3M6UQW2_9CNID	unreviewed	Mediator complex subunit 6 (Mediator of RNA polymerase II transcription subunit 6)	pdam_00021024	Pocillopora damicornis	282	mediator complex [GO:0016592]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003712; GO:0006357; GO:0016592	
UPI0011C1C23F	A0A671VGZ2	A0A671VGZ2_SPAAU	unreviewed	Uncharacterized protein	pex11g	Sparus aurata (Gilthead sea bream)	240			
UPI000C01D88F	A0A2B4S2D4	A0A2B4S2D4_STYPI	unreviewed	Putative N-acetyltransferase camello	cml AWC38_SpisGene12741	Stylophora pistillata (Smooth cauliflower coral)	243	integral component of membrane [GO:0016021]; N-acetyltransferase activity [GO:0008080]	GO:0008080; GO:0016021	
UPI000B45E524	A0A210PYR5	A0A210PYR5_MIZYE	unreviewed	Membrane protein C19orf24	KP79_PYT02160	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	151	integral component of membrane [GO:0016021]	GO:0016021	
UPI000C01847C	A0A2B4RWL9	A0A2B4RWL9_STYPI	unreviewed	E3 ubiquitin protein ligase (EC 2.3.2.27)	RNF40 AWC38_SpisGene14580	Stylophora pistillata (Smooth cauliflower coral)	900	nucleus [GO:0005634]; metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]; histone monoubiquitination [GO:0010390]	GO:0004842; GO:0005634; GO:0010390; GO:0046872	
