yourlist:M20200824A94466D2655679D1FD8953E075198DA850B510E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
ROL49769.1	A0A3N0YU96	A0A3N0YU96_ANAGA	unreviewed	Ras-related protein Rab-37	DPX16_13434	Anabarilius grahami (Kanglang fish) (Barilius grahami)	261	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	
EDO39555.1	A7S9R4	A7S9R4_NEMVE	unreviewed	Predicted protein	v1g208951	Nematostella vectensis (Starlet sea anemone)	330	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	
EDO31784.1	A7SWX3	A7SWX3_NEMVE	unreviewed	Conserved oligomeric Golgi complex subunit 8 (COG complex subunit 8) (Component of oligomeric Golgi complex 8)	v1g175156	Nematostella vectensis (Starlet sea anemone)	610	Golgi membrane [GO:0000139]; Golgi transport complex [GO:0017119]; intra-Golgi vesicle-mediated transport [GO:0006891]; protein transport [GO:0015031]	GO:0000139; GO:0006891; GO:0015031; GO:0017119	
RXN26735.1	A0A498NBR8	A0A498NBR8_LABRO	unreviewed	Transposon Ty3-G Gag-Pol poly	ROHU_005603	Labeo rohita (Indian major carp) (Cyprinus rohita)	1140	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX19358.1	A0A2B4RSR8	A0A2B4RSR8_STYPI	unreviewed	UPF0420 protein C16orf58	AWC38_SpisGene16252	Stylophora pistillata (Smooth cauliflower coral)	473			
PFX29379.1	A0A2B4SJV6	A0A2B4SJV6_STYPI	unreviewed	E3 ubiquitin-protein ligase DZIP3	DZIP3 AWC38_SpisGene5877	Stylophora pistillata (Smooth cauliflower coral)	901	ADP binding [GO:0043531]	GO:0043531	
RMX38328.1	A0A3M6TAL0	A0A3M6TAL0_9CNID	unreviewed	WD_REPEATS_REGION domain-containing protein	pdam_00005523	Pocillopora damicornis	557			
PFX22040.1	A0A2B4RZQ7	A0A2B4RZQ7_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene13455	Stylophora pistillata (Smooth cauliflower coral)	528			
RUS89005.1	A0A3S0ZXB4	A0A3S0ZXB4_ELYCH	unreviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.-)	EGW08_003252	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	783	mitochondrion [GO:0005739]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; metal ion binding [GO:0046872]; tricarboxylic acid cycle [GO:0006099]	GO:0003994; GO:0005739; GO:0006099; GO:0046872; GO:0051539	
GBC25475.1	A0A2H5S5X4	A0A2H5S5X4_RHIID	unreviewed	Uncharacterized protein	RIR_1191700	Rhizophagus irregularis (strain DAOM 181602 / DAOM 197198 / MUCL 43194) (Arbuscular mycorrhizal fungus) (Glomus intraradices)	1202			
RMX59383.1	A0A3M6V0B9	A0A3M6V0B9_9CNID	unreviewed	Uncharacterized protein	pdam_00016386	Pocillopora damicornis	118			
BAX00662.1	A0A1S7IWH7	A0A1S7IWH7_ACRDI	unreviewed	Fluorescent protein	CP	Acropora digitifera (Staghorn coral)	221	bioluminescence [GO:0008218]	GO:0008218	
KAF1317330.1	A0A6A5DAJ4	A0A6A5DAJ4_SCHHA	unreviewed	Uncharacterized protein	MS3_0017681	Schistosoma haematobium (Blood fluke)	649			
PFX15811.1	A0A2B4RDV7	A0A2B4RDV7_STYPI	unreviewed	Integrase catalytic domain-containing protein	AWC38_SpisGene19953	Stylophora pistillata (Smooth cauliflower coral)	515	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX13163.1	A0A2B4R8L4	A0A2B4R8L4_STYPI	unreviewed	DUF5641 domain-containing protein	AWC38_SpisGene22779	Stylophora pistillata (Smooth cauliflower coral)	636			
PIK36058.1	A0A2G8JJZ1	A0A2G8JJZ1_STIJA	unreviewed	Uncharacterized protein	BSL78_27123	Stichopus japonicus (Sea cucumber)	948			
PIK40335.1	A0A2G8JXC3	A0A2G8JXC3_STIJA	unreviewed	zf-RVT domain-containing protein	BSL78_22820	Stichopus japonicus (Sea cucumber)	699			
GBM19353.1	A0A4Y2DR77	A0A4Y2DR77_ARAVE	unreviewed	Uncharacterized protein (Fragment)	AVEN_94468_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	354	aspartic-type endopeptidase activity [GO:0004190]	GO:0004190	
GBL55200.1	A0A4Y1ZL88	A0A4Y1ZL88_ARAVE	unreviewed	Endonuclease (Reverse transcriptase)	TY3B-I_566 AVEN_222269_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	1041	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0004190; GO:0015074	
RMX49977.1	A0A3M6U8K5	A0A3M6U8K5_9CNID	unreviewed	Uncharacterized protein	pdam_00024393	Pocillopora damicornis	1078	SWI/SNF complex [GO:0016514]; DNA binding [GO:0003677]; ATP-dependent chromatin remodeling [GO:0043044]	GO:0003677; GO:0016514; GO:0043044	
AAI11545.1	Q9PVY9	FXC2A_XENLA	reviewed	Forkhead box protein C2-A (FoxC2-A) (FoxC2a) (Fork head domain-related protein 4) (FD-4) (xFD-4) (xFD4 A) (Forkhead protein 7) (FKH-7) (xFKH7)	foxc2-a fkh7	Xenopus laevis (African clawed frog)	465	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; promoter-specific chromatin binding [GO:1990841]; sequence-specific DNA binding [GO:0043565]; mesoderm development [GO:0007498]; multicellular organism development [GO:0007275]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]	GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0007275; GO:0007498; GO:0043565; GO:0045893; GO:0045944; GO:1990841	K09396;
EDO26184.1	A7TCN2	A7TCN2_NEMVE	unreviewed	Predicted protein (Fragment)	v1g225312	Nematostella vectensis (Starlet sea anemone)	333	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	
ELT90165.1	R7TGB5	R7TGB5_CAPTE	unreviewed	Endo/exonuclease/phosphatase domain-containing protein	CAPTEDRAFT_213462	Capitella teleta (Polychaete worm)	412			
OTB03155.1	A0A1Y2W0G3	A0A1Y2W0G3_9PEZI	unreviewed	acidPPc domain-containing protein	M426DRAFT_180537	Hypoxylon sp. CI-4A	438	integral component of membrane [GO:0016021]	GO:0016021	
ELU08069.1	R7UNI4	R7UNI4_CAPTE	unreviewed	Uncharacterized protein	CAPTEDRAFT_213404	Capitella teleta (Polychaete worm)	156			
RMX53303.1	A0A3M6UI01	A0A3M6UI01_9CNID	unreviewed	Thioredoxin domain-containing protein 12 (EC 1.8.4.2) (Fragment)	pdam_00022794	Pocillopora damicornis	193	integral component of membrane [GO:0016021]; cell redox homeostasis [GO:0045454]	GO:0016021; GO:0045454	
GBM12414.1	A0A4Y2D8M0	A0A4Y2D8M0_ARAVE	unreviewed	Endonuclease (Reverse transcriptase)	AVEN_119170_1 AVEN_15386_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	1816	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX15349.1	A0A2B4REX5	A0A2B4REX5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20437	Stylophora pistillata (Smooth cauliflower coral)	325			
EDO37726.1	A7SF00	A7SF00_NEMVE	unreviewed	Predicted protein	v1g244803	Nematostella vectensis (Starlet sea anemone)	215			
PFX30922.1	A0A2B4SQW6	A0A2B4SQW6_STYPI	unreviewed	Ankyrin repeat domain-containing protein 63	Ankrd63 AWC38_SpisGene4269	Stylophora pistillata (Smooth cauliflower coral)	459			
PFX13818.1	A0A2B4RBR1	A0A2B4RBR1_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene22068	Stylophora pistillata (Smooth cauliflower coral)	580			
RMX38812.1	A0A3M6TBQ4	A0A3M6TBQ4_9CNID	unreviewed	UPAR/Ly6 domain-containing protein (Fragment)	pdam_00016771	Pocillopora damicornis	124	integral component of membrane [GO:0016021]	GO:0016021	
VZI39411.1	A0A654HVP5	A0A654HVP5_9CEST	unreviewed	Reverse transcriptase domain-containing protein	SPRV2_LOCUS17933	Sparganum proliferum	2121			
PFX20071.1	A0A2B4RR40	A0A2B4RR40_STYPI	unreviewed	Craniofacial development protein 2	CFDP2 AWC38_SpisGene15490	Stylophora pistillata (Smooth cauliflower coral)	239			
PFX28605.1	A0A2B4SJK0	A0A2B4SJK0_STYPI	unreviewed	DNA polymerase (EC 2.7.7.7)	AWC38_SpisGene6655	Stylophora pistillata (Smooth cauliflower coral)	1574	nucleus [GO:0005634]; 4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0005634; GO:0006260; GO:0046872; GO:0051539	
RJS88452.1	A0A3R7E8R8	A0A3R7E8R8_9ARCH	unreviewed	LamG domain-containing protein	CW700_07775	Candidatus Bathyarchaeota archaeon	898			
RDD37075.1	A0A369RQT8	A0A369RQT8_9METZ	unreviewed	Protein spinster-like protein 2	TrispH2_010464	Trichoplax sp. H2	513	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	
VZH98857.1	A0A654GMH1	A0A654GMH1_9CEST	unreviewed	Endo/exonuclease/phosphatase domain-containing protein	SPRV2_LOCUS2448	Sparganum proliferum	315			
KJE91922.1	A0A0D2VNL3	A0A0D2VNL3_CAPO3	unreviewed	Alanine--glyoxylate transaminase (EC 2.6.1.44)	CAOG_009610	Capsaspora owczarzaki (strain ATCC 30864)	420	2-aminoethylphosphonate-pyruvate transaminase activity [GO:0047304]; organic phosphonate catabolic process [GO:0019700]	GO:0019700; GO:0047304	
PFX32759.1	A0A2B4SUD5	A0A2B4SUD5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene2373	Stylophora pistillata (Smooth cauliflower coral)	201	growth factor activity [GO:0008083]	GO:0008083	
EDO34446.1	A7SPB9	A7SPB9_NEMVE	unreviewed	Predicted protein	v1g215341	Nematostella vectensis (Starlet sea anemone)	746			
RMX35978.1	A0A3M6T4U7	A0A3M6T4U7_9CNID	unreviewed	Uncharacterized protein	pdam_00005188	Pocillopora damicornis	1436	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	
GBN08374.1	A0A4Y2L188	A0A4Y2L188_ARAVE	unreviewed	Retrovirus-related Pol polyprotein from transposon TNT 1-94	POLX_2324 AVEN_214416_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	830	DNA binding [GO:0003677]; DNA integration [GO:0015074]	GO:0003677; GO:0015074	
RXN10625.1	A0A498LZ01	A0A498LZ01_LABRO	unreviewed	Retrovirus-related Pol poly from transposon TNT 1-94	ROHU_010865	Labeo rohita (Indian major carp) (Cyprinus rohita)	729	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX13715.1	A0A2B4RBP8	A0A2B4RBP8_STYPI	unreviewed	Tripartite motif-containing protein 59	TRIM59 AWC38_SpisGene22172	Stylophora pistillata (Smooth cauliflower coral)	696	zinc ion binding [GO:0008270]	GO:0008270	
RMX59311.1	A0A3M6V041	A0A3M6V041_9CNID	unreviewed	DUF1681 domain-containing protein (Fragment)	pdam_00011891	Pocillopora damicornis	261	membrane [GO:0016020]; endocytosis [GO:0006897]	GO:0006897; GO:0016020	
PFX16994.1	A0A2B4RF51	A0A2B4RF51_STYPI	unreviewed	Zinc finger BED domain-containing protein 1	ZBED1 AWC38_SpisGene18703	Stylophora pistillata (Smooth cauliflower coral)	664	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]	GO:0003677; GO:0046983	
RMX44429.1	A0A3M6TSY4	A0A3M6TSY4_9CNID	unreviewed	Uncharacterized protein	pdam_00010081	Pocillopora damicornis	663	maturation of SSU-rRNA [GO:0030490]	GO:0030490	
KGL78495.1	A0A099ZCG5	A0A099ZCG5_TINGU	unreviewed	Uncharacterized protein (Fragment)	N309_10218	Tinamus guttatus (White-throated tinamou)	242			
RMX39039.1	A0A3M6TCL3	A0A3M6TCL3_9CNID	unreviewed	Uncharacterized protein	pdam_00021857	Pocillopora damicornis	384	integral component of membrane [GO:0016021]; transferase activity, transferring glycosyl groups [GO:0016757]; carbohydrate metabolic process [GO:0005975]	GO:0005975; GO:0016021; GO:0016757	
RUA07179.1	A0A432IA28	A0A432IA28_9GAMM	unreviewed	Reverse transcriptase domain-containing protein	DSY43_00385	Gammaproteobacteria bacterium	831			
RMX50711.1	A0A3M6UAS1	A0A3M6UAS1_9CNID	unreviewed	Uncharacterized protein	pdam_00013199	Pocillopora damicornis	1824	integral component of membrane [GO:0016021]	GO:0016021	
EDO35233.1	A7SM19	A7SM19_NEMVE	unreviewed	Predicted protein	v1g214367	Nematostella vectensis (Starlet sea anemone)	686	extracellular region [GO:0005576]	GO:0005576	
PFX14784.1	A0A2B4R8W1	A0A2B4R8W1_STYPI	unreviewed	TNF receptor-associated factor 4	Traf4 AWC38_SpisGene21036	Stylophora pistillata (Smooth cauliflower coral)	759	zinc ion binding [GO:0008270]	GO:0008270	
PFX12124.1	A0A2B4R172	A0A2B4R172_STYPI	unreviewed	Uncharacterized protein K02A2.6 (Fragment)	K02A2.6 AWC38_SpisGene23967	Stylophora pistillata (Smooth cauliflower coral)	976			
KAF3693765.1	A0A6G1PU24	A0A6G1PU24_9TELE	unreviewed	Alpha-(1,3)-fucosyltransferase 11	EXN66_Car009441	Channa argus (northern snakehead)	420			
PFX12776.1	A0A2B4R6I7	A0A2B4R6I7_STYPI	unreviewed	Collagen-like protein 7	AWC38_SpisGene23216	Stylophora pistillata (Smooth cauliflower coral)	2022	collagen trimer [GO:0005581]	GO:0005581	
PNF21675.1	A0A2J7PZB3	A0A2J7PZB3_9NEOP	unreviewed	TAZ-type domain-containing protein (Fragment)	B7P43_G11292	Cryptotermes secundus	482	histone acetyltransferase complex [GO:0000123]; host cell nucleus [GO:0042025]; histone acetyltransferase activity [GO:0004402]; transcription coactivator activity [GO:0003713]; zinc ion binding [GO:0008270]; regulation of transcription, DNA-templated [GO:0006355]	GO:0000123; GO:0003713; GO:0004402; GO:0006355; GO:0008270; GO:0042025	
AYV80398.1	A0A3G4ZZQ5	A0A3G4ZZQ5_9VIRU	unreviewed	Uncharacterized protein	Harvfovirus1_23	Harvfovirus sp.	305			
RMX53559.1	A0A3M6UJ15	A0A3M6UJ15_9CNID	unreviewed	Uncharacterized protein	pdam_00004411	Pocillopora damicornis	667			
RXN34210.1	A0A498NQ68	A0A498NQ68_LABRO	unreviewed	Phytanoyl-dioxygenase domain-containing 1 isoform X2	ROHU_015128	Labeo rohita (Indian major carp) (Cyprinus rohita)	291	dioxygenase activity [GO:0051213]	GO:0051213	
ELU16647.1	R7VDK6	R7VDK6_CAPTE	unreviewed	TM2 domain-containing protein	CAPTEDRAFT_163542	Capitella teleta (Polychaete worm)	199	integral component of membrane [GO:0016021]	GO:0016021	
RMC21511.1	A0A3M0L8S4	A0A3M0L8S4_HIRRU	unreviewed	Uncharacterized protein	DUI87_02377	Hirundo rustica rustica	1307	nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	GO:0003676; GO:0004523	
PIK40142.1	A0A2G8JWM5	A0A2G8JWM5_STIJA	unreviewed	Putative craniofacial development protein 2-like	BSL78_23017	Stichopus japonicus (Sea cucumber)	395			
RMX43703.1	A0A3M6TQK7	A0A3M6TQK7_9CNID	unreviewed	Uncharacterized protein	pdam_00006358	Pocillopora damicornis	353			
EDO50014.1	A7RF20	A7RF20_NEMVE	unreviewed	Predicted protein	v1g196234	Nematostella vectensis (Starlet sea anemone)	251			
EDO30778.1	A7SZT8	A7SZT8_NEMVE	unreviewed	Predicted protein	v1g220112	Nematostella vectensis (Starlet sea anemone)	206			
EDO31688.1	A7SX72	A7SX72_NEMVE	unreviewed	Predicted protein	v1g218892	Nematostella vectensis (Starlet sea anemone)	252			
PFX18888.1	A0A2B4RRD8	A0A2B4RRD8_STYPI	unreviewed	Protein-tyrosine sulfotransferase (EC 2.8.2.20)	gar-3 AWC38_SpisGene16718	Stylophora pistillata (Smooth cauliflower coral)	585	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; protein-tyrosine sulfotransferase activity [GO:0008476]; peptidyl-tyrosine sulfation [GO:0006478]	GO:0004930; GO:0006478; GO:0008476; GO:0016021	
RMX46762.1	A0A3M6TZF1	A0A3M6TZF1_9CNID	unreviewed	CHAT domain-containing protein	pdam_00007701	Pocillopora damicornis	484	integral component of membrane [GO:0016021]	GO:0016021	
RMX53674.1	A0A3M6UJG7	A0A3M6UJG7_9CNID	unreviewed	Uncharacterized protein	pdam_00000331	Pocillopora damicornis	645	integral component of membrane [GO:0016021]	GO:0016021	
RPB01809.1	A0A3N4JXR2	A0A3N4JXR2_9PEZI	unreviewed	HTH CENPB-type domain-containing protein (Fragment)	L873DRAFT_1566635	Choiromyces venosus 120613-1	456	DNA binding [GO:0003677]	GO:0003677	
PFX30434.1	A0A2B4SIE8	A0A2B4SIE8_STYPI	unreviewed	GTP-binding protein 10	GTPBP10 AWC38_SpisGene4798	Stylophora pistillata (Smooth cauliflower coral)	1078	GTP binding [GO:0005525]	GO:0005525	
ELU17774.1	R7VGP7	R7VGP7_CAPTE	unreviewed	Endo/exonuclease/phosphatase domain-containing protein	CAPTEDRAFT_132690	Capitella teleta (Polychaete worm)	278			
GBN06669.1	A0A4Y2KX15	A0A4Y2KX15_ARAVE	unreviewed	THAP-type domain-containing protein	AVEN_117099_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	892	DNA binding [GO:0003677]	GO:0003677	
PIK47981.1	A0A2G8KIZ9	A0A2G8KIZ9_STIJA	unreviewed	Uncharacterized protein	BSL78_15129	Stichopus japonicus (Sea cucumber)	226			
EDO34469.1	A7SPA4	A7SPA4_NEMVE	unreviewed	Predicted protein (Fragment)	v1g125875	Nematostella vectensis (Starlet sea anemone)	235	axoneme [GO:0005930]; microtubule binding [GO:0008017]; regulation of cytoskeleton organization [GO:0051493]	GO:0005930; GO:0008017; GO:0051493	
GBN46394.1	A0A4Y2P4T4	A0A4Y2P4T4_ARAVE	unreviewed	Endonuclease (Reverse transcriptase)	K02A2.6_265 AVEN_23274_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	599	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX23058.1	A0A2B4S3B5	A0A2B4S3B5_STYPI	unreviewed	DNA-directed DNA polymerase (EC 2.7.7.7)	AWC38_SpisGene12391	Stylophora pistillata (Smooth cauliflower coral)	1004	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260	
RMX40057.1	A0A3M6TF82	A0A3M6TF82_9CNID	unreviewed	Uncharacterized protein	pdam_00002243	Pocillopora damicornis	411	integral component of membrane [GO:0016021]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037	
VZH99831.1	A0A654GNA3	A0A654GNA3_9CEST	unreviewed	Reverse transcriptase domain-containing protein	SPRV2_LOCUS2772	Sparganum proliferum	349			
RMX37829.1	A0A3M6T919	A0A3M6T919_9CNID	unreviewed	Uncharacterized protein	pdam_00020039	Pocillopora damicornis	356			
PFX21915.1	A0A2B4S093	A0A2B4S093_STYPI	unreviewed	Tigger transposable element-derived protein 4	Tigd4 AWC38_SpisGene13574	Stylophora pistillata (Smooth cauliflower coral)	415	DNA binding [GO:0003677]	GO:0003677	
PFX26423.1	A0A2B4SBL6	A0A2B4SBL6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene8895	Stylophora pistillata (Smooth cauliflower coral)	691			
GBO25915.1	A0A4Y2VKW2	A0A4Y2VKW2_ARAVE	unreviewed	Uncharacterized transposon-derived protein F54H12.3	F54H12.3_19 AVEN_206257_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	345	nucleus [GO:0005634]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0005634; GO:0015074	
KAA0202992.1	A0A6A0HBC1	A0A6A0HBC1_HYAAZ	unreviewed	Exocyst complex component 3 (Exocyst complex component Sec6)	HAZT_HAZT003038	Hyalella azteca (Amphipod)	769			
KAF0871419.1	A0A6G1A6H6	A0A6G1A6H6_CROCR	unreviewed	EXOC3 protein (Fragment)	Exoc3 FOF47_R12121	Crocuta crocuta (Spotted hyena)	747			
PFX14334.1	A0A2B4R7L2	A0A2B4R7L2_STYPI	unreviewed	Integrase catalytic domain-containing protein	AWC38_SpisGene21522	Stylophora pistillata (Smooth cauliflower coral)	293	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX30908.1	A0A2B4SQM7	A0A2B4SQM7_STYPI	unreviewed	Proto-oncogene tyrosine-protein kinase receptor Ret	Ret AWC38_SpisGene4300	Stylophora pistillata (Smooth cauliflower coral)	766	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	
KFP11377.1	A0A091ISS6	A0A091ISS6_EGRGA	unreviewed	Uncharacterized protein (Fragment)	Z169_02913	Egretta garzetta (Little egret)	246			
PIK44589.1	A0A2G8K9E1	A0A2G8K9E1_STIJA	unreviewed	Uncharacterized protein	BSL78_18549	Stichopus japonicus (Sea cucumber)	246			
EDO26210.1	A7RVQ3	A7RVQ3_NEMVE	unreviewed	Mitochondrial import inner membrane translocase subunit	v1g154974 v1g163262	Nematostella vectensis (Starlet sea anemone)	84	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; metal ion binding [GO:0046872]; chaperone-mediated protein transport [GO:0072321]	GO:0005743; GO:0005758; GO:0046872; GO:0072321	
RXM91729.1	A0A444UU94	A0A444UU94_ACIRT	unreviewed	Protein YIPF	EOD39_20879	Acipenser ruthenus (Sterlet sturgeon)	370	integral component of membrane [GO:0016021]	GO:0016021	
CAC80027.1	Q8WPV9	Q8WPV9_SUBDO	unreviewed	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)		Suberites domuncula (Sponge)	288	cytoplasm [GO:0005737]; 3-hydroxyanthranilate 3,4-dioxygenase activity [GO:0000334]; ferrous iron binding [GO:0008198]; 'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]	GO:0000334; GO:0005737; GO:0006569; GO:0008198; GO:0019805; GO:0034354; GO:0043420	
PFX30400.1	A0A2B4SNF6	A0A2B4SNF6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene4851	Stylophora pistillata (Smooth cauliflower coral)	356			
VDO18305.1	A0A183F1U4	A0A183F1U4_HELPZ	unreviewed	Uncharacterized protein	HPBE_LOCUS37	Heligmosomoides polygyrus (Parasitic roundworm)	160			
PFX17002.1	A0A2B4RL78	A0A2B4RL78_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene18697	Stylophora pistillata (Smooth cauliflower coral)	422			
RWS19648.1	A0A443RWZ5	A0A443RWZ5_9ACAR	unreviewed	Uncharacterized protein	B4U80_05101	Leptotrombidium deliense	223			
PFX21061.1	A0A2B4RTX7	A0A2B4RTX7_STYPI	unreviewed	Putative nucleolar protein C2C4.08	SPAC2C4.08 AWC38_SpisGene14477	Stylophora pistillata (Smooth cauliflower coral)	667	nucleic acid binding [GO:0003676]	GO:0003676	
PFX11170.1	A0A2B4R3T3	A0A2B4R3T3_STYPI	unreviewed	Uncharacterized protein (Fragment)	AWC38_SpisGene25287	Stylophora pistillata (Smooth cauliflower coral)	624			
RMX42819.1	A0A3M6TN95	A0A3M6TN95_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00022500	Pocillopora damicornis	396			
PFX22418.1	A0A2B4S1H6	A0A2B4S1H6_STYPI	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	HMCN2 AWC38_SpisGene13040	Stylophora pistillata (Smooth cauliflower coral)	834	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	
PFX28989.1	A0A2B4SIP0	A0A2B4SIP0_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene6265	Stylophora pistillata (Smooth cauliflower coral)	148			
PFX23719.1	A0A2B4S3U2	A0A2B4S3U2_STYPI	unreviewed	Retrovirus-related Pol polyprotein	POL AWC38_SpisGene11733	Stylophora pistillata (Smooth cauliflower coral)	683	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
RMX55179.1	A0A3M6UNK3	A0A3M6UNK3_9CNID	unreviewed	Uncharacterized protein	pdam_00014084	Pocillopora damicornis	76			
RMX55317.1	A0A3M6UNP3	A0A3M6UNP3_9CNID	unreviewed	Uncharacterized protein	pdam_00025080	Pocillopora damicornis	445			
PFX14294.1	A0A2B4R7H0	A0A2B4R7H0_STYPI	unreviewed	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1	lingo1 AWC38_SpisGene21563	Stylophora pistillata (Smooth cauliflower coral)	747			
PFX17553.1	A0A2B4RL70	A0A2B4RL70_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene18110	Stylophora pistillata (Smooth cauliflower coral)	289			
RMX50648.1	A0A3M6UAZ2	A0A3M6UAZ2_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00017147	Pocillopora damicornis	459			
EYC23394.1	A0A016V6V0	A0A016V6V0_9BILA	unreviewed	Reverse transcriptase domain-containing protein	Acey_s0015.g2627 Y032_0015g2627	Ancylostoma ceylanicum	397			
PFX14359.1	A0A2B4RC52	A0A2B4RC52_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene21488	Stylophora pistillata (Smooth cauliflower coral)	752			
PFX28180.1	A0A2B4SH30	A0A2B4SH30_STYPI	unreviewed	Dynein regulatory complex protein 1	drc1 AWC38_SpisGene7088	Stylophora pistillata (Smooth cauliflower coral)	965	axonemal dynein complex [GO:0005858]; axonemal dynein complex assembly [GO:0070286]	GO:0005858; GO:0070286	
EDO26223.1	A7TCJ9	A7TCJ9_NEMVE	unreviewed	Predicted protein	v1g225273	Nematostella vectensis (Starlet sea anemone)	150	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	
RMX52439.1	A0A3M6UFU5	A0A3M6UFU5_9CNID	unreviewed	Uncharacterized protein	pdam_00019906	Pocillopora damicornis	413			
VDP56511.1	A0A183NBW4	A0A183NBW4_9TREM	unreviewed	Uncharacterized protein	SMRZ_LOCUS25789	Schistosoma margrebowiei	606			
